National Total;Nationality;Periodo;Total
National Total;Total;2021;528.856
National Total;Total;2020;467.918
National Total;Total;2019;750.480
National Total;Total;2018;643.684
National Total;Total;2017;532.132
National Total;Total;2016;414.746
National Total;Total;2015;342.114
National Total;Total;2014;305.454
National Total;Total;2013;280.772
National Total;Total;2012;304.054
National Total;Total;2011;371.335
National Total;Total;2010;360.704
National Total;Total;2009;392.963
National Total;Total;2008;599.074
National Total;Spanish ;2021;72.283
National Total;Spanish ;2020;52.768
National Total;Spanish ;2019;84.458
National Total;Spanish ;2018;83.686
National Total;Spanish ;2017;78.182
National Total;Spanish ;2016;62.573
National Total;Spanish ;2015;52.109
National Total;Spanish ;2014;40.968
National Total;Spanish ;2013;32.422
National Total;Spanish ;2012;31.565
National Total;Spanish ;2011;35.442
National Total;Spanish ;2010;30.418
National Total;Spanish ;2009;27.596
National Total;Spanish ;2008;31.701
National Total;País de la UE27_2020 sin España;2021;110.171
National Total;País de la UE27_2020 sin España;2020;83.613
National Total;País de la UE27_2020 sin España;2019;""
National Total;País de la UE27_2020 sin España;2018;""
National Total;País de la UE27_2020 sin España;2017;""
National Total;País de la UE27_2020 sin España;2016;""
National Total;País de la UE27_2020 sin España;2015;""
National Total;País de la UE27_2020 sin España;2014;""
National Total;País de la UE27_2020 sin España;2013;""
National Total;País de la UE27_2020 sin España;2012;""
National Total;País de la UE27_2020 sin España;2011;""
National Total;País de la UE27_2020 sin España;2010;""
National Total;País de la UE27_2020 sin España;2009;""
National Total;País de la UE27_2020 sin España;2008;""
National Total;País de la UE28 sin España;2021;""
National Total;País de la UE28 sin España;2020;""
National Total;País de la UE28 sin España;2019;151.762
National Total;País de la UE28 sin España;2018;145.298
National Total;País de la UE28 sin España;2017;139.415
National Total;País de la UE28 sin España;2016;116.313
National Total;País de la UE28 sin España;2015;106.178
National Total;País de la UE28 sin España;2014;99.969
National Total;País de la UE28 sin España;2013;90.420
National Total;País de la UE28 sin España;2012;100.320
National Total;País de la UE28 sin España;2011;128.848
National Total;País de la UE28 sin España;2010;127.959
National Total;País de la UE28 sin España;2009;123.999
National Total;País de la UE28 sin España;2008;168.366
National Total;Belgium;2021;4.673
National Total;Belgium;2020;3.223
National Total;Belgium;2019;4.007
National Total;Belgium;2018;3.767
National Total;Belgium;2017;3.811
National Total;Belgium;2016;2.964
National Total;Belgium;2015;2.705
National Total;Belgium;2014;2.266
National Total;Belgium;2013;2.319
National Total;Belgium;2012;2.198
National Total;Belgium;2011;1.975
National Total;Belgium;2010;1.844
National Total;Belgium;2009;1.726
National Total;Belgium;2008;1.914
National Total;Bulgaria;2021;3.129
National Total;Bulgaria;2020;3.357
National Total;Bulgaria;2019;5.600
National Total;Bulgaria;2018;5.363
National Total;Bulgaria;2017;6.050
National Total;Bulgaria;2016;5.150
National Total;Bulgaria;2015;4.921
National Total;Bulgaria;2014;4.699
National Total;Bulgaria;2013;4.947
National Total;Bulgaria;2012;6.224
National Total;Bulgaria;2011;9.890
National Total;Bulgaria;2010;8.386
National Total;Bulgaria;2009;7.680
National Total;Bulgaria;2008;10.766
National Total;Denmark;2021;844
National Total;Denmark;2020;601
National Total;Denmark;2019;901
National Total;Denmark;2018;922
National Total;Denmark;2017;882
National Total;Denmark;2016;737
National Total;Denmark;2015;707
National Total;Denmark;2014;707
National Total;Denmark;2013;668
National Total;Denmark;2012;773
National Total;Denmark;2011;658
National Total;Denmark;2010;639
National Total;Denmark;2009;586
National Total;Denmark;2008;728
National Total;Finland;2021;857
National Total;Finland;2020;651
National Total;Finland;2019;958
National Total;Finland;2018;1.062
National Total;Finland;2017;1.071
National Total;Finland;2016;910
National Total;Finland;2015;855
National Total;Finland;2014;881
National Total;Finland;2013;868
National Total;Finland;2012;912
National Total;Finland;2011;967
National Total;Finland;2010;931
National Total;Finland;2009;670
National Total;Finland;2008;707
National Total;France;2021;13.345
National Total;France;2020;10.207
National Total;France;2019;12.125
National Total;France;2018;11.735
National Total;France;2017;11.435
National Total;France;2016;9.338
National Total;France;2015;9.020
National Total;France;2014;8.095
National Total;France;2013;7.287
National Total;France;2012;7.431
National Total;France;2011;7.807
National Total;France;2010;7.788
National Total;France;2009;7.742
