Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
00 Total Nacional;Total;2022;1.258.894
00 Total Nacional;Total;2021;887.960
00 Total Nacional;Española;2022;138.420
00 Total Nacional;Española;2021;135.651
00 Total Nacional;UE27_2020 sin España;2022;194.484
00 Total Nacional;UE27_2020 sin España;2021;191.558
00 Total Nacional;Bélgica;2022;5.853
00 Total Nacional;Bélgica;2021;6.524
00 Total Nacional;Bulgaria;2022;8.610
00 Total Nacional;Bulgaria;2021;8.738
00 Total Nacional;Dinamarca;2022;1.278
00 Total Nacional;Dinamarca;2021;1.491
00 Total Nacional;Finlandia;2022;1.460
00 Total Nacional;Finlandia;2021;1.540
00 Total Nacional;Francia;2022;16.518
00 Total Nacional;Francia;2021;18.434
00 Total Nacional;Irlanda;2022;3.517
00 Total Nacional;Irlanda;2021;4.451
00 Total Nacional;Italia;2022;48.797
00 Total Nacional;Italia;2021;42.101
00 Total Nacional;Países Bajos;2022;8.662
00 Total Nacional;Países Bajos;2021;8.935
00 Total Nacional;Polonia;2022;7.027
00 Total Nacional;Polonia;2021;5.901
00 Total Nacional;Portugal;2022;11.001
00 Total Nacional;Portugal;2021;11.009
00 Total Nacional;Alemania;2022;17.110
00 Total Nacional;Alemania;2021;19.985
00 Total Nacional;Rumanía;2022;48.011
00 Total Nacional;Rumanía;2021;47.480
00 Total Nacional;Suecia;2022;4.106
00 Total Nacional;Suecia;2021;4.539
00 Total Nacional;Lituania;2022;2.169
00 Total Nacional;Lituania;2021;1.722
00 Total Nacional;Otro país de la Unión Europea sin España;2022;10.365
00 Total Nacional;Otro país de la Unión Europea sin España;2021;8.708
00 Total Nacional;Europa menos UE27_2020;2022;149.165
00 Total Nacional;Europa menos UE27_2020;2021;73.228
00 Total Nacional;Noruega;2022;1.704
00 Total Nacional;Noruega;2021;2.569
00 Total Nacional;Reino Unido;2022;18.986
00 Total Nacional;Reino Unido;2021;33.941
00 Total Nacional;Suiza;2022;2.133
00 Total Nacional;Suiza;2021;2.570
00 Total Nacional;Ucrania;2022;91.621
00 Total Nacional;Ucrania;2021;9.923
00 Total Nacional;Moldavia;2022;2.106
00 Total Nacional;Moldavia;2021;1.537
00 Total Nacional;Rusia;2022;20.268
00 Total Nacional;Rusia;2021;12.976
00 Total Nacional;Otro país del resto de Europa;2022;12.347
00 Total Nacional;Otro país del resto de Europa;2021;9.712
00 Total Nacional;De Africa;2022;166.008
00 Total Nacional;De Africa;2021;150.429
00 Total Nacional;Argelia;2022;12.434
00 Total Nacional;Argelia;2021;9.465
00 Total Nacional;Gambia;2022;3.542
00 Total Nacional;Gambia;2021;3.668
00 Total Nacional;Ghana;2022;2.797
00 Total Nacional;Ghana;2021;2.833
00 Total Nacional;Guinea;2022;1.634
00 Total Nacional;Guinea;2021;1.679
00 Total Nacional;Guinea Ecuatorial;2022;2.590
00 Total Nacional;Guinea Ecuatorial;2021;2.046
00 Total Nacional;Mali;2022;4.597
00 Total Nacional;Mali;2021;6.268
00 Total Nacional;Marruecos;2022;113.725
00 Total Nacional;Marruecos;2021;99.460
00 Total Nacional;Mauritania;2022;1.491
00 Total Nacional;Mauritania;2021;1.807
00 Total Nacional;Nigeria;2022;3.196
00 Total Nacional;Nigeria;2021;3.251
00 Total Nacional;Senegal;2022;11.464
