Country Code,Year,Sex,Number of residents
DEU,2022,Male,55740
DEU,2021,Male,52640
DEU,2020,Male,53809
DEU,2019,Male,53878
DEU,2018,Male,53815
DEU,2017,Male,53992
DEU,2016,Male,58202
DEU,2015,Male,63883
DEU,2014,Male,69003
DEU,2013,Male,90254
DEU,2012,Male,98210
DEU,2011,Male,98066
DEU,2010,Male,98210
DEU,2009,Male,96070
DEU,2008,Male,91533
DEU,2007,Male,83229
DEU,2006,Male,76254
DEU,2005,Male,67475
DEU,2004,Male,58934
DEU,2003,Male,65175
DEU,2002,Male,56593
DEU,2001,Male,49007
DEU,2000,Male,43481
DEU,1999,Male,36764
DEU,1998,Male,29251
DEU,2022,Female,60382
DEU,2021,Female,56916
DEU,2020,Female,58128
DEU,2019,Female,58033
DEU,2018,Female,57680
DEU,2017,Female,57822
DEU,2016,Female,61618
DEU,2015,Female,67028
DEU,2014,Female,71508
DEU,2013,Female,91646
DEU,2012,Female,98668
DEU,2011,Female,97921
DEU,2010,Female,97614
DEU,2009,Female,94932
DEU,2008,Female,89641
DEU,2007,Female,81176
DEU,2006,Female,74236
DEU,2005,Female,66113
DEU,2004,Female,58316
DEU,2003,Female,65057
DEU,2002,Female,57216
DEU,2001,Female,50210
DEU,2000,Female,45170
DEU,1999,Female,38854
DEU,1998,Female,31244
BGR,2022,Male,56296
BGR,2021,Male,58161
BGR,2020,Male,60324
BGR,2019,Male,60521
BGR,2018,Male,61501
BGR,2017,Male,63459
BGR,2016,Male,67124
BGR,2015,Male,72150
BGR,2014,Male,77880
BGR,2013,Male,88474
BGR,2012,Male,93399
BGR,2011,Male,92305
BGR,2010,Male,91211
BGR,2009,Male,89251
BGR,2008,Male,84187
BGR,2007,Male,66282
BGR,2006,Male,55767
BGR,2005,Male,52025
BGR,2004,Male,39390
BGR,2003,Male,30418
BGR,2002,Male,17495
BGR,2001,Male,7221
BGR,2000,Male,1582
BGR,1999,Male,969
BGR,1998,Male,757
BGR,2022,Female,58226
BGR,2021,Female,59959
BGR,2020,Female,62051
BGR,2019,Female,62292
BGR,2018,Female,62903
BGR,2017,Female,64210
BGR,2016,Female,66827
BGR,2015,Female,70178
BGR,2014,Female,73699
BGR,2013,Female,80523
BGR,2012,Female,83012
BGR,2011,Female,80621
BGR,2010,Female,78341
BGR,2009,Female,75466
BGR,2008,Female,69786
BGR,2007,Female,55775
BGR,2006,Female,45850
BGR,2005,Female,41012
BGR,2004,Female,30464
BGR,2003,Female,22420
BGR,2002,Female,12245
BGR,2001,Female,4814
BGR,2000,Female,1448
BGR,1999,Female,863
BGR,1998,Female,696
FRA,2022,Male,57382
FRA,2021,Male,54310
FRA,2020,Male,53810
FRA,2019,Male,51482
FRA,2018,Male,49280
FRA,2017,Male,48010
FRA,2016,Male,48755
FRA,2015,Male,49832
FRA,2014,Male,51857
FRA,2013,Male,59160
FRA,2012,Male,61006
FRA,2011,Male,61497
FRA,2010,Male,62281
FRA,2009,Male,60625
FRA,2008,Male,56663
FRA,2007,Male,50249
FRA,2006,Male,44748
FRA,2005,Male,38238
FRA,2004,Male,32434
FRA,2003,Male,33592
FRA,2002,Male,28327
FRA,2001,Male,24066
FRA,2000,Male,21309
FRA,1999,Male,18418
FRA,1998,Male,15858
FRA,2022,Female,57938
FRA,2021,Female,55087
FRA,2020,Female,54465
FRA,2019,Female,52035
FRA,2018,Female,49733
FRA,2017,Female,48411
FRA,2016,Female,48832
FRA,2015,Female,49766
FRA,2014,Female,51695
FRA,2013,Female,58669
FRA,2012,Female,60631
FRA,2011,Female,61006
FRA,2010,Female,61589
FRA,2009,Female,59882
FRA,2008,Female,55947
FRA,2007,Female,50159
FRA,2006,Female,45273
FRA,2005,Female,39553
FRA,2004,Female,34424
FRA,2003,Female,36338
FRA,2002,Female,31484
FRA,2001,Female,27516
FRA,2000,Female,25067
FRA,1999,Female,22466
FRA,1998,Female,20009
ITA,2022,Male,150405
ITA,2021,Male,141467
ITA,2020,Male,139228
ITA,2019,Male,126893
ITA,2018,Male,115800
ITA,2017,Male,107297
ITA,2016,Male,103602
ITA,2015,Male,102800
ITA,2014,Male,104284
ITA,2013,Male,111152
ITA,2012,Male,111214
ITA,2011,Male,109221
ITA,2010,Male,107440
ITA,2009,Male,102815
ITA,2008,Male,92962
ITA,2007,Male,79841
ITA,2006,Male,68455
ITA,2005,Male,56646
ITA,2004,Male,46125
