Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,DZA,Both,0 - 14,759,761,731,1159
2008,PER,Males,35 - 44,2938,1693,1401,2473
2008,PER,Males,45 - 54,1128,769,573,1030
2008,PER,Males,55 - 64,265,206,148,276
2008,PER,Males,65+,156,164,127,206
2008,PER,Males,All,13799,9106,7855,12224
2008,PRT,Both,0 - 14,1635,1558,1191,1680
2008,PRT,Both,15 - 24,2969,2324,1876,2872
2008,PER,Males,25 - 34,4703,2815,2357,3957
2008,PRT,Both,25 - 34,4385,3699,3297,4438
2008,PRT,Both,45 - 54,1558,1426,1135,1632
2008,PRT,Both,55 - 64,451,584,425,670
2008,PRT,Both,65+,240,302,225,354
2008,PRT,Both,All,13954,13101,10027,14172
2008,PRT,Females,0 - 14,787,622,487,737
2008,PRT,Females,15 - 24,1408,996,798,1296
2008,PRT,Females,25 - 34,1526,1390,1243,1754
2008,PRT,Both,35 - 44,2715,2447,2067,2841
2008,PRT,Females,35 - 44,754,797,684,1026
2008,PER,Males,15 - 24,2616,2138,1843,2763
2008,PER,Females,All,13724,11682,10508,15533
2008,PRY,Males,All,5971,5243,3930,5758
2008,PER,Both,0 - 14,3950,4067,3255,4665
2008,PER,Both,15 - 24,5282,4986,4107,5854
2008,PER,Both,25 - 34,9242,6466,5708,8462
2008,PER,Both,35 - 44,5648,3648,3331,5210
2008,PER,Both,45 - 54,2319,1760,1463,2272
2008,PER,Both,55 - 64,646,566,465,752
2008,PER,Males,0 - 14,1993,2114,1708,2524
2008,PER,Both,65+,435,419,390,580
2008,PER,Females,0 - 14,1957,2170,1711,2523
2008,PER,Females,15 - 24,2668,3170,2378,3433
2008,PER,Females,25 - 34,4539,4330,3316,4784
2008,PER,Females,35 - 44,2710,2299,1878,2900
2008,PER,Females,45 - 54,1190,1048,872,1322
2008,PER,Females,55 - 64,380,360,300,492
2008,PER,Females,65+,279,299,246,382
2008,PER,Both,All,27523,18827,17537,26324
2008,PRT,Females,45 - 54,432,493,388,582
2008,PRT,Females,55 - 64,145,217,161,281
2008,PRT,Females,65+,141,151,108,173
2008,ROU,Females,45 - 54,2646,2423,2317,3789
2008,ROU,Females,55 - 64,1015,1076,1044,1831
2008,ROU,Females,65+,367,407,311,660
2008,ROU,Females,All,30387,34154,28931,44096
2008,ROU,Males,0 - 14,5206,4618,4833,7210
2008,ROU,Males,15 - 24,8990,10439,7851,11251
2008,ROU,Males,25 - 34,8664,9406,7377,10769
2008,ROU,Females,35 - 44,4299,4838,4247,6426
2008,ROU,Males,35 - 44,4769,5785,4347,6469
2008,ROU,Males,55 - 64,699,795,662,1133
2008,ROU,Males,65+,165,228,168,346
2008,ROU,Males,All,30875,32316,28139,41987
2008,RUS,Both,0 - 14,1222,1316,1117,1733
2008,RUS,Both,15 - 24,1026,1057,809,1168
2008,RUS,Both,25 - 34,1349,1389,1110,1607
2008,RUS,Both,35 - 44,933,1103,912,1359
2008,ROU,Males,45 - 54,2381,2573,2003,3181
2008,ROU,Females,25 - 34,7024,10392,7019,11140
2008,ROU,Females,15 - 24,10190,10862,8214,12270
2008,ROU,Females,0 - 14,4844,5033,4421,6685
2008,PRT,Females,All,5193,5373,3953,5878
2008,PRT,Males,0 - 14,849,907,695,1039
2008,PRT,Males,15 - 24,1561,1305,1057,1618
2008,PRT,Males,25 - 34,2860,2274,2014,2801
2008,PRT,Males,35 - 44,1962,1605,1344,1994
2008,PRT,Males,45 - 54,1125,825,730,1093
2008,PRT,Males,55 - 64,305,276,226,371
2008,PRT,Males,65+,99,119,100,165
2008,PRT,Males,All,8761,7515,6165,9110
2008,ROU,Both,0 - 14,10051,9396,9097,12947
2008,ROU,Both,15 - 24,19180,20552,16137,22429
2008,ROU,Both,25 - 34,15689,19393,14616,21986
2008,ROU,Both,35 - 44,9068,10247,8907,12605
2008,ROU,Both,45 - 54,5027,4513,4542,6751
2008,ROU,Both,55 - 64,1714,1860,1739,2867
2008,ROU,Both,65+,532,703,507,999
2008,ROU,Both,All,61262,60728,55936,80107
2008,PRY,Males,65+,20,11,11,22
2008,RUS,Both,45 - 54,759,783,631,895
2008,PRY,Males,55 - 64,72,51,44,78
2008,PRY,Males,35 - 44,787,518,402,686
2008,NIC,Females,25 - 34,838,963,714,1144
2008,NIC,Females,35 - 44,514,485,338,533
2008,NIC,Females,45 - 54,175,176,118,192
