Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2008,PER,Males,35 - 44,2938,1867,1218,2268
2008,PER,Males,45 - 54,1128,755,520,971
2008,PER,Males,55 - 64,265,183,154,282
2008,PER,Males,65+,156,159,111,207
2008,PER,Males,25 - 34,4703,3088,2257,3993
2008,PRT,Females,0 - 14,787,583,452,738
2008,PRT,Females,15 - 24,1408,976,773,1206
2008,PRT,Females,25 - 34,1526,1165,1039,1567
2008,PRT,Females,35 - 44,754,725,567,836
2008,PER,Males,15 - 24,2616,1999,1695,2753
2008,PER,Males,0 - 14,1993,2089,1722,2623
2008,PER,Females,0 - 14,1957,2185,1655,2637
2008,PER,Females,15 - 24,2668,2497,2033,3089
2008,PER,Females,25 - 34,4539,3746,3079,4619
2008,PER,Females,35 - 44,2710,2176,1732,2716
2008,PER,Females,45 - 54,1190,1188,877,1392
2008,PER,Females,55 - 64,380,401,327,565
2008,PER,Females,65+,279,299,221,389
2008,PRT,Females,45 - 54,432,382,296,467
2008,PRT,Females,55 - 64,145,176,145,238
2008,PRT,Females,65+,141,129,101,164
2008,ROU,Females,45 - 54,2646,3017,2366,3622
2008,ROU,Females,55 - 64,1015,1230,1018,1896
2008,ROU,Females,65+,367,407,340,702
2008,ROU,Males,0 - 14,5206,6191,4398,6573
2008,ROU,Males,15 - 24,8990,8496,7036,10696
2008,ROU,Males,25 - 34,8664,7586,6442,9407
2008,ROU,Females,35 - 44,4299,5123,4303,6208
2008,ROU,Males,35 - 44,4769,5013,4314,6281
2008,ROU,Males,55 - 64,699,926,665,1217
2008,ROU,Males,65+,165,205,160,358
2008,ROU,Males,45 - 54,2381,2486,2010,3086
2008,ROU,Females,25 - 34,7024,8358,6822,9776
2008,ROU,Females,15 - 24,10190,9988,8142,12138
2008,ROU,Females,0 - 14,4844,5190,4412,6358
2008,PRT,Males,0 - 14,849,837,600,943
2008,PRT,Males,15 - 24,1561,1041,876,1411
2008,PRT,Males,25 - 34,2860,1775,1487,2355
2008,PRT,Males,35 - 44,1962,1515,1112,1827
2008,PRT,Males,45 - 54,1125,742,542,933
2008,PRT,Males,55 - 64,305,287,212,341
2008,PRT,Males,65+,99,123,85,142
2008,PRY,Males,65+,20,15,13,25
2008,PRY,Males,55 - 64,72,59,36,73
2008,PRY,Males,35 - 44,787,547,417,672
2008,NIC,Females,25 - 34,838,803,758,1252
2008,NIC,Females,35 - 44,514,438,365,636
